Indicator_Name,Indicator_Code
Taxes on international trade (current LCU),GC.TAX.INTT.CN
"Air transport, passengers carried",IS.AIR.PSGR
Improved water source (% of population with access),SH.H2O.SAFE.ZS
"Employment to population ratio, 15+, total (%)",SL.EMP.TOTL.SP.ZS
Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",DT.TDS.DPPG.XP.ZS
"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",IQ.WEF.PORT.XQ
External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS
"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5
Changes in inventories (current LCU),NE.GDI.STKB.CN
High-technology exports (current US$),TX.VAL.TECH.CD
Population growth (annual %),SP.POP.GROW
CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ
"PNG, commercial banks and other creditors (INT, current US$)",DT.INT.PNGC.CD
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG
"PPG, multilateral concessional (NTR, current US$)",DT.NTR.MLTC.CD
Poverty gap at national poverty line (%),SI.POV.NAGP
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS
Net current transfers from abroad (constant LCU),NY.TRF.NCTR.KN
"Employers, total (% of employment)",SL.EMP.MPYR.ZS
"PPG, bilateral concessional (AMT, current US$)",DT.AMT.BLTC.CD
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ
"PPG, multilateral concessional (AMT, current US$)",DT.AMT.MLTC.CD
"PPG, commercial banks (NTR, current US$)",DT.NTR.PCBK.CD
"PPG, bonds (TDS, current US$)",DT.TDS.PBND.CD
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG
Road sector energy consumption (% of total energy consumption),IS.ROD.ENGY.ZS
"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS
"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD
"Currency composition of PPG debt, Deutsche mark (%)",DT.CUR.DMAK.ZS
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD
"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD
Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG
"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD
"PNG, commercial banks and other creditors (DIS, current US$)",DT.DIS.PNGC.CD
"PPG, multilateral concessional (DOD, current US$)",DT.DOD.MLTC.CD
"Self-employed, female (% of females employed)",SL.EMP.SELF.FE.ZS
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS
Documents to export (number),IC.EXP.DOCS
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS
CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ
"PPG, multilateral concessional (INT, current US$)",DT.INT.MLTC.CD
"Net official flows from UN agencies, UNAIDS (current US$)",DT.NFL.UNAI.CD
"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD
Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS
Urban population (% of total),SP.URB.TOTL.IN.ZS
Bank capital to assets ratio (%),FB.BNK.CAPA.ZS
Merchandise exports to developing economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS
Money and quasi money (M2) as % of GDP,FM.LBL.MQMY.GD.ZS
"IMF repurchases (AMT, current US$)",DT.AMT.DIMF.CD
Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),LP.LPI.CUST.XQ
"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS
Population in largest city,EN.URB.LCTY
Ratio of female to male tertiary enrollment (%),SE.ENR.TERT.FM.ZS
"Final consumption expenditure, etc. (constant 2005 US$)",NE.CON.TETC.KD
"Share of tariff lines with specific rates, all products (%)",TM.TAX.MRCH.SR.ZS
"Short-term debt (% of exports of goods, services and primary income)",DT.DOD.DSTC.XP.ZS
GINI index,SI.POV.GINI
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF
"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS
Strength of legal rights index (0=weak to 10=strong),IC.LGL.CRED.XQ
Electric power transmission and distribution losses (kWh),EG.ELC.LOSS.KH
Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS
"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS
"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT
"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS
"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS
CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN
Age dependency ratio (% of working-age population),SP.POP.DPND
"Labor participation rate, male (% of male population ages 15+)",SL.TLF.CACT.MA.ZS
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS
Energy production (kt of oil equivalent),EG.EGY.PROD.KT.OE
"Net bilateral aid flows from DAC donors, Iceland (current US$)",DC.DAC.ISLL.CD
Number of maternal deaths,SH.MMR.DTHS
"Household final consumption expenditure, etc. (constant LCU)",NE.CON.PETC.KN
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD
Completeness of total death reporting (% of reported total deaths to estimated total deaths),SP.DTH.REPT.ZS
Health expenditure per capita (current US$),SH.XPD.PCAP
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",DC.DAC.KORL.CD
Procedures to enforce a contract (number),IC.LGL.PROC
Logistics performance index: Ability to track and trace consignments (1=low to 5=high),LP.LPI.TRAC.XQ
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS
"Unemployment, youth total (% of total labor force ages 15-24)",SL.UEM.1524.ZS
Technicians in R&D (per million people),SP.POP.TECH.RD.P6
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS
Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS
GNI per capita (current LCU),NY.GNP.PCAP.CN
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA
IDA grants (current US$),DT.DIS.IDAG.CD
"Interest arrears, official creditors (current US$)",DT.IXA.OFFT.CD
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS
"Unemployment with tertiary education, female (% of female unemployment)",SL.UEM.TERT.FE.ZS
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT
Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS
Arable land (hectares),AG.LND.ARBL.HA
Diarrhea treatment (% of children under 5 who received ORS packet),SH.STA.ORTH
Employment in industry (% of total employment),SL.IND.EMPL.ZS
"Employees, industry, male (% of male employment)",SL.IND.EMPL.MA.ZS
"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS
CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ
"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT
Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE
"Manufacturing, value added (current US$)",NV.IND.MANF.CD
"Losses due to theft, robbery, vandalism, and arson (% sales)",IC.FRM.CRIM.ZS
Poverty headcount ratio at $2 a day (PPP) (% of population),SI.POV.2DAY
Liquid liabilities (M3) as % of GDP,FS.LBL.LIQU.GD.ZS
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD
"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS
Children (0-14) living with HIV,SH.HIV.0014
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN
"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD
"Prevalence of overweight, male (% of children under 5)",SH.STA.OWGH.MA.ZS
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD
"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE
Urban population,SP.URB.TOTL
Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN
"Trademark applications, aggregate direct",IP.TMK.AGGD
Combustible renewables and waste (metric tons of oil equivalent),EG.USE.CRNW.KT.OE
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS
Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS
"PPG, IBRD (NTR, current US$)",DT.NTR.MIBR.CD
Final consumption expenditure (constant LCU),NE.CON.TOTL.KN
Broad money (current LCU),FM.LBL.BMNY.CN
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG
Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS
"PPG, bilateral concessional (DOD, current US$)",DT.DOD.BLTC.CD
"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS
"Pupil-teacher ratio, primary",SE.PRM.ENRL.TC.ZS
"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD
"Currency composition of PPG debt, SDR (%)",DT.CUR.SDRW.ZS
Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS
"Wage and salaried workers, total (% of total employed)",SL.EMP.WORK.ZS
Secondary school starting age (years),SE.SEC.AGES
Forest area (% of land area),AG.LND.FRST.ZS
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD
"Improved sanitation facilities, rural (% of rural population with access)",SH.STA.ACSN.RU
"External debt stocks, variable rate (DOD, current US$)",DT.DOD.VTOT.CD
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD
"Stocks traded, turnover ratio (%)",CM.MKT.TRNR
DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS
"Long-term unemployment, male (% of male unemployment)",SL.UEM.LTRM.MA.ZS
"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD
GDP per capita (constant LCU),NY.GDP.PCAP.KN
"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG
Net official aid received (current US$),DT.ODA.OATL.CD
Gross domestic income (constant 2005 US$),NY.GDY.TOTL.KD
Net official aid received (constant 2011 US$),DT.ODA.OATL.KD
Contraceptive prevalence (% of women ages 15-49),SP.DYN.CONU.ZS
"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD
"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS
"Currency composition of PPG debt, Pound sterling (%)",DT.CUR.UKPS.ZS
"Net flows on external debt, short-term (NFL, current US$)",DT.NFL.DSTC.CD
"School enrollment, tertiary (% gross)",SE.TER.ENRR
"PNG, commercial banks and other creditors (DOD, current US$)",DT.DOD.PNGC.CD
"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD
Arms exports (constant 1990 US$),MS.MIL.XPRT.KD
"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD
Net official development assistance received (constant 2011 US$),DT.ODA.ODAT.KD
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS
ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD
"PPG, bilateral concessional (INT, current US$)",DT.INT.BLTC.CD
Gross national expenditure (constant 2005 US$),NE.DAB.TOTL.KD
"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3
"Commitments, official creditors (COM, current US$)",DT.COM.OFFT.CD
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS
"Employers, female (% of employment)",SL.EMP.MPYR.FE.ZS
Insurance and financial services (% of commercial service imports),TM.VAL.INSF.ZS.WT
Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS
Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD
"Interest rescheduled, official (current US$)",DT.IXR.OFFT.CD
External balance on goods and services (current US$),NE.RSB.GNFS.CD
"PPG, IBRD (DIS, current US$)",DT.DIS.MIBR.CD
Concessional debt (% of total external debt),DT.DOD.ALLC.ZS
"International migrant stock, total",SM.POP.TOTL
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD
Arms imports (constant 1990 US$),MS.MIL.MPRT.KD
Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS
"Industry, value added (% of GDP)",NV.IND.TOTL.ZS
Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS
"Net official flows from UN agencies, UNTA (current US$)",DT.NFL.UNTA.CD
Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG
"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS
"Final consumption expenditure, etc. (current LCU)",NE.CON.TETC.CN
Gross domestic savings (constant LCU),NY.GDS.TOTL.KN
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS
"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD
"PPG, bonds (INT, current US$)",DT.INT.PBND.CD
Net current transfers from abroad (current LCU),NY.TRF.NCTR.CN
"Services, etc., value added (current US$)",NV.SRV.TETC.CD
CO2 emissions (kt),EN.ATM.CO2E.KT
ISO certification ownership (% of firms),IC.FRM.ISOC.ZS
"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD
"Agriculture, value added (current LCU)",NV.AGR.TOTL.CN
"Disbursements on external debt, long-term + IMF (DIS, current US$)",DT.DIS.DLTF.CD
Cereal yield (kg per hectare),AG.YLD.CREL.KG
Average grant element on new external debt commitments (%),DT.GRE.DPPG
New businesses registered (number),IC.BUS.NREG
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS
"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD
"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS
Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),LP.LPI.ITRN.XQ
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS
Electricity production from oil sources (kWh),EG.ELC.PETR.KH
"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",DC.DAC.CZEL.CD
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS
Interest rescheduled (capitalized) (current US$),DT.IXR.DPPG.CD
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD
Net domestic credit (current LCU),FM.AST.DOMS.CN
"PPG, IBRD (INT, current US$)",DT.INT.MIBR.CD
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS
"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS
Total reserves in months of imports,FI.RES.TOTL.MO
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS
"Health expenditure, public (% of total health expenditure)",SH.XPD.PUBL
"Passenger cars (per 1,000 people)",IS.VEH.PCAR.P3
General government final consumption expenditure (current US$),NE.CON.GOVT.CD
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS
Gross national income (constant LCU),NY.GNY.TOTL.KN
"Net official flows from UN agencies, WHO (current US$)",DT.NFL.WHOL.CD
Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD
"Malnutrition prevalence, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS
Electricity production from oil sources (% of total),EG.ELC.PETR.ZS
"Population, female (% of total)",SP.POP.TOTL.FE.ZS
Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS
"Expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS
"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD
"Average grant element on new external debt commitments, private (%)",DT.GRE.PRVT
"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5
Time required to enforce a contract (days),IC.LGL.DURS
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
Average maturity on new external debt commitments (years),DT.MAT.DPPG
"International tourism, number of departures",ST.INT.DPRT
"PNG, commercial banks and other creditors (NTR, current US$)",DT.NTR.PNGC.CD
"Primary education, pupils",SE.PRM.ENRL
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS
"Water pollution, wood industry (% of total BOD emissions)",EE.BOD.WOOD.ZS
(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",DC.DAC.NZLL.CD
"Employment to population ratio, 15+, female (%)",SL.EMP.TOTL.SP.FE.ZS
Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD
"International tourism, number of arrivals",ST.INT.ARVL
GDP (current LCU),NY.GDP.MKTP.CN
Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT
"Net transfers on external debt, long-term (NTR, current US$)",DT.NTR.DLXF.CD
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD
CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ
PPP conversion factor (GDP) to market exchange rate ratio,PA.NUS.PPPC.RF
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS
Telephone lines (per 100 people),IT.MLT.MAIN.P2
"Water pollution, clay and glass industry (% of total BOD emissions)",EE.BOD.CGLS.ZS
"Agriculture, value added (current US$)",NV.AGR.TOTL.CD
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT
Total debt service (% of GNI),DT.TDS.DECT.GN.ZS
Gross national expenditure (current US$),NE.DAB.TOTL.CD
"Point-of-sale terminals (per 100,000 adults)",FB.POS.TOTL.P5
Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN
"Net official flows from UN agencies, UNFPA (current US$)",DT.NFL.UNFP.CD
GDP (constant LCU),NY.GDP.MKTP.KN
Gross capital formation (constant LCU),NE.GDI.TOTL.KN
"Net bilateral aid flows from DAC donors, Greece (current US$)",DC.DAC.GRCL.CD
"Roads, total network (km)",IS.ROD.TOTL.KM
"Contributing family workers, female (% of females employed)",SL.FAM.WORK.FE.ZS
"PPG, bonds (AMT, current US$)",DT.AMT.PBND.CD
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS
Money and quasi money growth (annual %),FM.LBL.MQMY.ZG
Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths),SP.DTH.INFR.ZS
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD
Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT
"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD
Gross national expenditure (current LCU),NE.DAB.TOTL.CN
"Taxes on income, profits and capital gains (current LCU)",GC.TAX.YPKG.CN
"Currency composition of PPG debt, all other currencies (%)",DT.CUR.OTHC.ZS
General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG
"Industry, value added (current US$)",NV.IND.TOTL.CD
"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD
"Net flows on external debt, total (NFL, current US$)",DT.NFL.DECT.CD
"PNG, bonds (NTR, current US$)",DT.NTR.PNGB.CD
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3
Agricultural land (% of land area),AG.LND.AGRI.ZS
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD
"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS
Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS
"Net official flows from UN agencies, UNPBF (current US$)",DT.NFL.UNPB.CD
"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS
"Industry, value added (constant 2005 US$)",NV.IND.TOTL.KD
Principal rescheduled (current US$),DT.AXR.DPPG.CD
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD
"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT
Import volume index (2000 = 100),TM.QTY.MRCH.XD.WD
"PNG, bonds (DOD, current US$)",DT.DOD.PNGB.CD
Firms formally registered when operations started (% of firms),IC.FRM.FREG.ZS
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS
"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD
"PPG, other private creditors (DOD, current US$)",DT.DOD.PROP.CD
Household final consumption expenditure (constant LCU),NE.CON.PRVT.KN
"Health expenditure, private (% of GDP)",SH.XPD.PRIV.ZS
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN
"Average maturity on new external debt commitments, private (years)",DT.MAT.PRVT
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC
External resources for health (% of total expenditure on health),SH.XPD.EXTR.ZS
Gross capital formation (current LCU),NE.GDI.TOTL.CN
"PPG, bilateral concessional (DIS, current US$)",DT.DIS.BLTC.CD
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN
HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS
Net intake rate in grade 1 (% of official school-age population),SE.PRM.NINT.ZS
"Smoking prevalence, females (% of adults)",SH.PRV.SMOK.FE
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN
Changes in inventories (constant LCU),NE.GDI.STKB.KN
"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD
Imports of goods and services (current US$),NE.IMP.GNFS.CD
"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE
Road sector energy consumption (kt of oil equivalent),IS.ROD.ENGY.KT
"Currency composition of PPG debt, U.S. dollars (%)",DT.CUR.USDL.ZS
Population ages 0-14 (% of total),SP.POP.0014.TO.ZS
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
Unemployment with primary education (% of total unemployment),SL.UEM.PRIM.ZS
Firms using banks to finance investment (% of firms),IC.FRM.BNKS.ZS
Net income from abroad (constant LCU),NY.GSR.NFCY.KN
Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE
Vehicles (per km of road),IS.VEH.ROAD.K1
Average grace period on new external debt commitments (years),DT.GPA.DPPG
Net change in interest arrears (current US$),DT.IXA.DPPG.CD.CG
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD
Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS
Income share held by highest 20%,SI.DST.05TH.20
"Average maturity on new external debt commitments, official (years)",DT.MAT.OFFT
"Undisbursed external debt, total (UND, current US$)",DT.UND.DPPG.CD
(%) Generosity of All Social Insurance,allsi.gen_pop
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (million metric tons)",EN.CO2.OTHX.MT
Employment in services (% of total employment),SL.SRV.EMPL.ZS
"Services, etc., value added (current LCU)",NV.SRV.TETC.CN
"Unemployment, youth female (% of female labor force ages 15-24)",SL.UEM.1524.FE.ZS
Cash surplus/deficit (current LCU),GC.BAL.CASH.CN
"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS
Poverty headcount ratio at rural poverty line (% of rural population),SI.POV.RUHC
Agricultural land (sq. km),AG.LND.AGRI.K2
"PPG, bilateral (NTR, current US$)",DT.NTR.BLAT.CD
Poverty gap at $1.25 a day (PPP) (%),SI.POV.GAPS
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS
Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS
"Interest arrears, public and publicly guaranteed (current US$)",DT.IXA.DPPG.CD
"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD
"Final consumption expenditure, etc. (annual % growth)",NE.CON.TETC.KD.ZG
Fixed broadband Internet subscribers (per 100 people),IT.NET.BBND.P2
"PNG, bonds (AMT, current US$)",DT.AMT.PNGB.CD
Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS
Other expense (% of expense),GC.XPN.OTHR.ZS
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT
Public and publicly guaranteed debt service (% of GNI),DT.TDS.DPPG.GN.ZS
CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS
Industrial nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.IN.KT.CE
Informal payments to public officials (% of firms),IC.FRM.CORR.ZS
Trade (% of GDP),NE.TRD.GNFS.ZS
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD
CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS
Secure Internet servers (per 1 million people),IT.NET.SECR.P6
